      8 com,instagram)/p/39d1nsp-xb/embed?hl=fi
      8 com,instagram)/p/39d1nsp-xb/embed?hl=fr
      7 com,instagram)/p/39d1nsp-xb/embed?hl=gu
      7 com,instagram)/p/39d1nsp-xb/embed?hl=hi
      7 com,instagram)/p/39d1nsp-xb/embed?hl=hr
      7 com,instagram)/p/39d1nsp-xb/embed?hl=hu
      8 com,instagram)/p/39d1nsp-xb/embed?hl=id
      8 com,instagram)/p/39d1nsp-xb/embed?hl=it
      8 com,instagram)/p/39d1nsp-xb/embed?hl=ja
      7 com,instagram)/p/39d1nsp-xb/embed?hl=kn
      8 com,instagram)/p/39d1nsp-xb/embed?hl=ko
      7 com,instagram)/p/39d1nsp-xb/embed?hl=ml
      7 com,instagram)/p/39d1nsp-xb/embed?hl=mr
      8 com,instagram)/p/39d1nsp-xb/embed?hl=ms
      8 com,instagram)/p/39d1nsp-xb/embed?hl=nb
      7 com,instagram)/p/39d1nsp-xb/embed?hl=ne
      8 com,instagram)/p/39d1nsp-xb/embed?hl=nl
      7 com,instagram)/p/39d1nsp-xb/embed?hl=pa
      8 com,instagram)/p/39d1nsp-xb/embed?hl=pl
      8 com,instagram)/p/39d1nsp-xb/embed?hl=pt
      8 com,instagram)/p/39d1nsp-xb/embed?hl=pt-br
      8 com,instagram)/p/39d1nsp-xb/embed?hl=ru
      7 com,instagram)/p/39d1nsp-xb/embed?hl=si
      7 com,instagram)/p/39d1nsp-xb/embed?hl=sk
      8 com,instagram)/p/39d1nsp-xb/embed?hl=sv
      7 com,instagram)/p/39d1nsp-xb/embed?hl=ta
      7 com,instagram)/p/39d1nsp-xb/embed?hl=te
      8 com,instagram)/p/39d1nsp-xb/embed?hl=th
      8 com,instagram)/p/39d1nsp-xb/embed?hl=tl
      8 com,instagram)/p/39d1nsp-xb/embed?hl=tr
      7 com,instagram)/p/39d1nsp-xb/embed?hl=ur
      7 com,instagram)/p/39d1nsp-xb/embed?hl=vi
      8 com,instagram)/p/39d1nsp-xb/embed?hl=zh-cn
      8 com,instagram)/p/39d1nsp-xb/embed?hl=zh-tw
     24 com,instagram)/p/39kq-sv-um/embed
      1 com,instagram)/p/39kq-sv-um/embed/captioned?v=3
      1 com,instagram)/p/39kq-sv-um/embed/captioned?v=4
      8 com,instagram)/p/39kq-sv-um/embed?hl=af
      1 com,instagram)/p/39kq-sv-um/embed?hl=ar
      7 com,instagram)/p/39kq-sv-um/embed?hl=bn
      8 com,instagram)/p/39kq-sv-um/embed?hl=cs
      8 com,instagram)/p/39kq-sv-um/embed?hl=da
      8 com,instagram)/p/39kq-sv-um/embed?hl=de
      8 com,instagram)/p/39kq-sv-um/embed?hl=el
      8 com,instagram)/p/39kq-sv-um/embed?hl=en
      8 com,instagram)/p/39kq-sv-um/embed?hl=es
      8 com,instagram)/p/39kq-sv-um/embed?hl=fi
      8 com,instagram)/p/39kq-sv-um/embed?hl=fr
      7 com,instagram)/p/39kq-sv-um/embed?hl=gu
      7 com,instagram)/p/39kq-sv-um/embed?hl=hi
      7 com,instagram)/p/39kq-sv-um/embed?hl=hr
      7 com,instagram)/p/39kq-sv-um/embed?hl=hu
      8 com,instagram)/p/39kq-sv-um/embed?hl=id
      8 com,instagram)/p/39kq-sv-um/embed?hl=it
      8 com,instagram)/p/39kq-sv-um/embed?hl=ja
      7 com,instagram)/p/39kq-sv-um/embed?hl=kn
      8 com,instagram)/p/39kq-sv-um/embed?hl=ko
      7 com,instagram)/p/39kq-sv-um/embed?hl=ml
      7 com,instagram)/p/39kq-sv-um/embed?hl=mr
      8 com,instagram)/p/39kq-sv-um/embed?hl=ms
      8 com,instagram)/p/39kq-sv-um/embed?hl=nb
      7 com,instagram)/p/39kq-sv-um/embed?hl=ne
      8 com,instagram)/p/39kq-sv-um/embed?hl=nl
      7 com,instagram)/p/39kq-sv-um/embed?hl=pa
      8 com,instagram)/p/39kq-sv-um/embed?hl=pl
      8 com,instagram)/p/39kq-sv-um/embed?hl=pt
      8 com,instagram)/p/39kq-sv-um/embed?hl=pt-br
      8 com,instagram)/p/39kq-sv-um/embed?hl=ru
      7 com,instagram)/p/39kq-sv-um/embed?hl=si
      7 com,instagram)/p/39kq-sv-um/embed?hl=sk
      8 com,instagram)/p/39kq-sv-um/embed?hl=sv
      7 com,instagram)/p/39kq-sv-um/embed?hl=ta
      7 com,instagram)/p/39kq-sv-um/embed?hl=te
      8 com,instagram)/p/39kq-sv-um/embed?hl=th
      8 com,instagram)/p/39kq-sv-um/embed?hl=tl
      8 com,instagram)/p/39kq-sv-um/embed?hl=tr
      7 com,instagram)/p/39kq-sv-um/embed?hl=ur
      7 com,instagram)/p/39kq-sv-um/embed?hl=vi
      8 com,instagram)/p/39kq-sv-um/embed?hl=zh-cn
      8 com,instagram)/p/39kq-sv-um/embed?hl=zh-tw
     22 com,instagram)/p/39rjoxv-sf/embed
      1 com,instagram)/p/39rjoxv-sf/embed/captioned?v=3
      8 com,instagram)/p/39rjoxv-sf/embed?hl=af
      1 com,instagram)/p/39rjoxv-sf/embed?hl=ar
      7 com,instagram)/p/39rjoxv-sf/embed?hl=bn
      8 com,instagram)/p/39rjoxv-sf/embed?hl=cs
      8 com,instagram)/p/39rjoxv-sf/embed?hl=da
      8 com,instagram)/p/39rjoxv-sf/embed?hl=de
      7 com,instagram)/p/39rjoxv-sf/embed?hl=el
      8 com,instagram)/p/39rjoxv-sf/embed?hl=en
      8 com,instagram)/p/39rjoxv-sf/embed?hl=es
      8 com,instagram)/p/39rjoxv-sf/embed?hl=fi
      8 com,instagram)/p/39rjoxv-sf/embed?hl=fr
      7 com,instagram)/p/39rjoxv-sf/embed?hl=gu
      7 com,instagram)/p/39rjoxv-sf/embed?hl=hi
      7 com,instagram)/p/39rjoxv-sf/embed?hl=hr
      7 com,instagram)/p/39rjoxv-sf/embed?hl=hu
      8 com,instagram)/p/39rjoxv-sf/embed?hl=id
      8 com,instagram)/p/39rjoxv-sf/embed?hl=it
      8 com,instagram)/p/39rjoxv-sf/embed?hl=ja
      7 com,instagram)/p/39rjoxv-sf/embed?hl=kn
      8 com,instagram)/p/39rjoxv-sf/embed?hl=ko
      7 com,instagram)/p/39rjoxv-sf/embed?hl=ml
      7 com,instagram)/p/39rjoxv-sf/embed?hl=mr
      8 com,instagram)/p/39rjoxv-sf/embed?hl=ms
      8 com,instagram)/p/39rjoxv-sf/embed?hl=nb
      7 com,instagram)/p/39rjoxv-sf/embed?hl=ne
      8 com,instagram)/p/39rjoxv-sf/embed?hl=nl
      7 com,instagram)/p/39rjoxv-sf/embed?hl=pa
      8 com,instagram)/p/39rjoxv-sf/embed?hl=pl
      8 com,instagram)/p/39rjoxv-sf/embed?hl=pt
      8 com,instagram)/p/39rjoxv-sf/embed?hl=pt-br
      8 com,instagram)/p/39rjoxv-sf/embed?hl=ru
      7 com,instagram)/p/39rjoxv-sf/embed?hl=si
      7 com,instagram)/p/39rjoxv-sf/embed?hl=sk
      8 com,instagram)/p/39rjoxv-sf/embed?hl=sv
      7 com,instagram)/p/39rjoxv-sf/embed?hl=ta
      7 com,instagram)/p/39rjoxv-sf/embed?hl=te
      8 com,instagram)/p/39rjoxv-sf/embed?hl=th
      8 com,instagram)/p/39rjoxv-sf/embed?hl=tl
      8 com,instagram)/p/39rjoxv-sf/embed?hl=tr
      7 com,instagram)/p/39rjoxv-sf/embed?hl=ur
      7 com,instagram)/p/39rjoxv-sf/embed?hl=vi
      8 com,instagram)/p/39rjoxv-sf/embed?hl=zh-cn
      8 com,instagram)/p/39rjoxv-sf/embed?hl=zh-tw
     32 com,instagram)/p/39ywqdp-qt/embed
      1 com,instagram)/p/39ywqdp-qt/embed/captioned?v=3
      2 com,instagram)/p/39ywqdp-qt/embed/captioned?v=4
      8 com,instagram)/p/39ywqdp-qt/embed?hl=af
      1 com,instagram)/p/39ywqdp-qt/embed?hl=ar
      7 com,instagram)/p/39ywqdp-qt/embed?hl=bn
      8 com,instagram)/p/39ywqdp-qt/embed?hl=cs
      8 com,instagram)/p/39ywqdp-qt/embed?hl=da
      8 com,instagram)/p/39ywqdp-qt/embed?hl=de
      8 com,instagram)/p/39ywqdp-qt/embed?hl=el
      8 com,instagram)/p/39ywqdp-qt/embed?hl=en
      8 com,instagram)/p/39ywqdp-qt/embed?hl=es
      8 com,instagram)/p/39ywqdp-qt/embed?hl=fi
      8 com,instagram)/p/39ywqdp-qt/embed?hl=fr
      7 com,instagram)/p/39ywqdp-qt/embed?hl=gu
      7 com,instagram)/p/39ywqdp-qt/embed?hl=hi
      7 com,instagram)/p/39ywqdp-qt/embed?hl=hr
      7 com,instagram)/p/39ywqdp-qt/embed?hl=hu
      8 com,instagram)/p/39ywqdp-qt/embed?hl=id
      8 com,instagram)/p/39ywqdp-qt/embed?hl=it
      8 com,instagram)/p/39ywqdp-qt/embed?hl=ja
      7 com,instagram)/p/39ywqdp-qt/embed?hl=kn
      8 com,instagram)/p/39ywqdp-qt/embed?hl=ko
      7 com,instagram)/p/39ywqdp-qt/embed?hl=ml
      7 com,instagram)/p/39ywqdp-qt/embed?hl=mr
      8 com,instagram)/p/39ywqdp-qt/embed?hl=ms
      8 com,instagram)/p/39ywqdp-qt/embed?hl=nb
      7 com,instagram)/p/39ywqdp-qt/embed?hl=ne
      8 com,instagram)/p/39ywqdp-qt/embed?hl=nl
      7 com,instagram)/p/39ywqdp-qt/embed?hl=pa
      8 com,instagram)/p/39ywqdp-qt/embed?hl=pl
      8 com,instagram)/p/39ywqdp-qt/embed?hl=pt
      8 com,instagram)/p/39ywqdp-qt/embed?hl=pt-br
      8 com,instagram)/p/39ywqdp-qt/embed?hl=ru
      7 com,instagram)/p/39ywqdp-qt/embed?hl=si
      7 com,instagram)/p/39ywqdp-qt/embed?hl=sk
      8 com,instagram)/p/39ywqdp-qt/embed?hl=sv
      7 com,instagram)/p/39ywqdp-qt/embed?hl=ta
      7 com,instagram)/p/39ywqdp-qt/embed?hl=te
      8 com,instagram)/p/39ywqdp-qt/embed?hl=th
      8 com,instagram)/p/39ywqdp-qt/embed?hl=tl
      8 com,instagram)/p/39ywqdp-qt/embed?hl=tr
      7 com,instagram)/p/39ywqdp-qt/embed?hl=ur
      7 com,instagram)/p/39ywqdp-qt/embed?hl=vi
      8 com,instagram)/p/39ywqdp-qt/embed?hl=zh-cn
      8 com,instagram)/p/39ywqdp-qt/embed?hl=zh-tw
     38 com,instagram)/p/3wsohtv-sp/embed
      2 com,instagram)/p/3wsohtv-sp/embed/captioned?v=2
      1 com,instagram)/p/3wsohtv-sp/embed/captioned?v=4
     10 com,instagram)/p/3wsohtv-sp/embed?hl=af
      1 com,instagram)/p/3wsohtv-sp/embed?hl=ar
      9 com,instagram)/p/3wsohtv-sp/embed?hl=bn
     10 com,instagram)/p/3wsohtv-sp/embed?hl=cs
     10 com,instagram)/p/3wsohtv-sp/embed?hl=da
     10 com,instagram)/p/3wsohtv-sp/embed?hl=de
     10 com,instagram)/p/3wsohtv-sp/embed?hl=el
     10 com,instagram)/p/3wsohtv-sp/embed?hl=en
     10 com,instagram)/p/3wsohtv-sp/embed?hl=es
     10 com,instagram)/p/3wsohtv-sp/embed?hl=fi
     10 com,instagram)/p/3wsohtv-sp/embed?hl=fr
      9 com,instagram)/p/3wsohtv-sp/embed?hl=gu
      9 com,instagram)/p/3wsohtv-sp/embed?hl=hi
      9 com,instagram)/p/3wsohtv-sp/embed?hl=hr
      9 com,instagram)/p/3wsohtv-sp/embed?hl=hu
     10 com,instagram)/p/3wsohtv-sp/embed?hl=id
     10 com,instagram)/p/3wsohtv-sp/embed?hl=it
     10 com,instagram)/p/3wsohtv-sp/embed?hl=ja
