id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1293687362321604613,1293686275824848896,2020-08-12 19:14:37 EDT,2020-08-12,19:14:37,-0400,4872434897,daveleifer,David - VOTE IN PERSON - Leifer 🇺🇸,,@JackPosobiec @AntifaWebsite 2002,und,"['jackposobiec', 'antifawebsite']",[],[],1,0,2,[],[],https://twitter.com/daveleifer/status/1293687362321604613,,,0,,,,,,,,"{'user_id': '4872434897', 'username': 'daveleifer'}",,,,
1293687329471832065,1286035865471537157,2020-08-12 19:14:29 EDT,2020-08-12,19:14:29,-0400,569071517,anarchistfed,Anarchist 💣Federation ❤🖤,,"@AntifaWebsite Lol called it.

Shit spy op is shit.

https://t.co/fejUgxSUCf",en,['antifawebsite'],['https://twitter.com/mybiolimb/status/1293683867124195328'],[],0,0,1,[],[],https://twitter.com/AnarchistFed/status/1293687329471832065,,https://twitter.com/mybiolimb/status/1293683867124195328,0,,,,,,,,"{'user_id': '569071517', 'username': 'AnarchistFed'}",,,,
1293687278804533248,1293686275824848896,2020-08-12 19:14:17 EDT,2020-08-12,19:14:17,-0400,4872434897,daveleifer,David - VOTE IN PERSON - Leifer 🇺🇸,,"@JackPosobiec @AntifaWebsite Registered in Panama, 2004 https://t.co/GZ1FvbDYGZ",en,"['jackposobiec', 'antifawebsite']",[],['https://pbs.twimg.com/media/EfQZt5wWsAEBBY7.jpg'],2,1,4,[],[],https://twitter.com/daveleifer/status/1293687278804533248,,,1,https://pbs.twimg.com/media/EfQZt5wWsAEBBY7.jpg,,,,,,,"{'user_id': '592730371', 'username': 'JackPosobiec'}",,,,
1293687249452896257,1293686275824848896,2020-08-12 19:14:10 EDT,2020-08-12,19:14:10,-0400,939621214670196736,realericdaugh,Eric Daugherty,,@JoshPet15172472 @JackPosobiec @AntifaWebsite Nothing.,en,"['joshpet15172472', 'jackposobiec', 'antifawebsite']",[],[],1,0,0,[],[],https://twitter.com/realEricDaugh/status/1293687249452896257,,,0,,,,,,,,"{'user_id': '1216193736499134466', 'username': 'JoshPet15172472'}",,,,
1293687136722595845,1293686275824848896,2020-08-12 19:13:43 EDT,2020-08-12,19:13:43,-0400,3268365894,darthdayv,David Walston,,@JackPosobiec @AntifaWebsite Was the site hacked or was this planned?❔,en,"['jackposobiec', 'antifawebsite']",[],[],1,1,1,[],[],https://twitter.com/DarthDayv/status/1293687136722595845,,,0,,,,,,,,"{'user_id': '592730371', 'username': 'JackPosobiec'}",,,,
1293687134147219463,1293686275824848896,2020-08-12 19:13:42 EDT,2020-08-12,19:13:42,-0400,51553275,terriadventurer,terri s,,@JackPosobiec @AntifaWebsite Hmm...wonder who they are referring to.... https://t.co/Xe27adKdJJ,en,"['jackposobiec', 'antifawebsite']",[],['https://pbs.twimg.com/media/EfQZkTYWoAAVfyD.png'],1,1,5,[],[],https://twitter.com/terriadventurer/status/1293687134147219463,,,1,https://pbs.twimg.com/media/EfQZkTYWoAAVfyD.png,,,,,,,"{'user_id': '592730371', 'username': 'JackPosobiec'}",,,,
1293687105693024256,1293686275824848896,2020-08-12 19:13:36 EDT,2020-08-12,19:13:36,-0400,1233931963486162944,daddylongballz,AntiFa Public Service Announcements,,@JackPosobiec @AntifaWebsite Cryptic.,en,"['jackposobiec', 'antifawebsite']",[],[],0,0,0,[],[],https://twitter.com/daddylongballz/status/1293687105693024256,,,0,,,,,,,,"{'user_id': '592730371', 'username': 'JackPosobiec'}",,,,
1293687009341591553,1293686275824848896,2020-08-12 19:13:13 EDT,2020-08-12,19:13:13,-0400,1287771490960707584,luke_2453,Luke 0.28% IFR,,@JackPosobiec @AntifaWebsite Google site:https://t.co/Zyblsfqevw and you also get @IDG_News and @BettikMartin,en,"['jackposobiec', 'antifawebsite', 'idg_news', 'bettikmartin']",['http://antifa.com'],[],0,0,0,[],[],https://twitter.com/Luke_2453/status/1293687009341591553,,,0,,,,,,,,"{'user_id': '592730371', 'username': 'JackPosobiec'}",,,,
1293686988638425089,1293686275824848896,2020-08-12 19:13:08 EDT,2020-08-12,19:13:08,-0400,1216193736499134466,joshpet15172472,Josh Peters,,@realEricDaugh @JackPosobiec @AntifaWebsite Hit refresh a few times,en,"['realericdaugh', 'jackposobiec', 'antifawebsite']",[],[],1,0,0,[],[],https://twitter.com/JoshPet15172472/status/1293686988638425089,,,0,,,,,,,,"{'user_id': '939621214670196736', 'username': 'realEricDaugh'}",,,,
1293686902156132358,1293321223649341441,2020-08-12 19:12:47 EDT,2020-08-12,19:12:47,-0400,939621214670196736,realericdaugh,Eric Daugherty,,@AntifaWebsite Why'd you take the site down bud?,en,['antifawebsite'],[],[],0,0,7,[],[],https://twitter.com/realEricDaugh/status/1293686902156132358,,,0,,,,,,,,"{'user_id': '1249935052315779073', 'username': 'AntifaWebsite'}",,,,
